Function,Raw Force, Resting Force offset, Compensated Force, External Analog Input, Position, milliseconds
Move forward to applanation setpoint,00001857,00001852,00000005,00000000,31.6709213257,1468387166127 
Move forward to applanation setpoint,00001856,00001852,00000004,00000000,31.6745929718,1468387166134 
Move forward to applanation setpoint,00001857,00001852,00000005,00000000,31.6781654358,1468387166139 
Move forward to applanation setpoint,00001850,00001852,-0000002,00000000,31.6817378998,1468387166145 
Move forward to applanation setpoint,00001854,00001852,00000002,00000000,31.6855068207,1468387166151 
Move forward to applanation setpoint,00001852,00001852,00000000,00000000,31.6889801025,1468387166157 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.6924533844,1468387166163 
Move forward to applanation setpoint,00001855,00001852,00000003,00000000,31.6965198517,1468387166169 
Move forward to applanation setpoint,00001848,00001852,-0000004,00000000,31.6999931335,1468387166175 
Move forward to applanation setpoint,00001862,00001852,00000010,00000000,31.7034664154,1468387166180 
Move forward to applanation setpoint,00001869,00001852,00000017,00000000,31.7071380615,1468387166186 
Move forward to applanation setpoint,00001849,00001852,-0000003,00000000,31.7106094360,1468387166192 
Move forward to applanation setpoint,00001858,00001852,00000006,00000000,31.7139835358,1468387166197 
Move forward to applanation setpoint,00001864,00001852,00000012,00000000,31.7174568176,1468387166203 
Move forward to applanation setpoint,00001853,00001852,00000001,00000000,31.7211265564,1468387166209 
